| time  |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 246   |  0  |     100 |     -82 |   8|      18 |     153 |       0 |
| 247   |  0  |      18 |     -82 |   9|      18 |     153 |       0 |
| 248   |  0  |      18 |     -82 |  10|      18 |     153 |       0 |
| 249   |  0  |      16 |     -82 |  11|      18 |     153 |       0 |
| 250   |  0  |      16 |      18 |  12|      18 |     153 |       0 |
| 251   |  0  |      17 |      18 |  13|      18 |     153 |       0 |
| 252   |  0  |      17 |      18 |  14|      18 |     171 |       0 |
| 253   |  0  |      16 |      18 |  15|      18 |     171 |       0 |
| 254   |  0  |      16 |      18 |  16|      19 |     171 |       0 |
| 255   |  0  |       4 |      18 |  17|      19 |     171 |       0 |
| 256   |  0  |       4 |      18 |   4|      19 |     171 |       0 |
| 257   |  0  |      16 |      18 |   5|      19 |     171 |       0 |
| 258   |  0  |      16 |      19 |   6|      19 |     171 |       0 |
| 259   |  0  |     100 |      19 |   7|      19 |     171 |       0 |
| 260   |  0  |     100 |     -81 |   8|      19 |     171 |       0 |
| 261   |  0  |      18 |     -81 |   9|      19 |     171 |       0 |
| 262   |  0  |      18 |     -81 |  10|      19 |     171 |       0 |
| 263   |  0  |      16 |     -81 |  11|      19 |     171 |       0 |
| 264   |  0  |      16 |      19 |  12|      19 |     171 |       0 |
| 265   |  0  |      17 |      19 |  13|      19 |     171 |       0 |
| 266   |  0  |      17 |      19 |  14|      19 |     190 |       0 |
| 267   |  0  |      16 |      19 |  15|      19 |     190 |       0 |
| 268   |  0  |      16 |      19 |  16|      20 |     190 |       0 |
| 269   |  0  |       4 |      19 |  17|      20 |     190 |       0 |
| 270   |  0  |       4 |      19 |   4|      20 |     190 |       0 |
| 271   |  0  |      16 |      19 |   5|      20 |     190 |       0 |
| 272   |  0  |      16 |      20 |   6|      20 |     190 |       0 |
| 273   |  0  |     100 |      20 |   7|      20 |     190 |       0 |
| 274   |  0  |     100 |     -80 |   8|      20 |     190 |       0 |
| 275   |  0  |      18 |     -80 |   9|      20 |     190 |       0 |
| 276   |  0  |      18 |     -80 |  10|      20 |     190 |       0 |
| 277   |  0  |      16 |     -80 |  11|      20 |     190 |       0 |
| 278   |  0  |      16 |      20 |  12|      20 |     190 |       0 |
| 279   |  0  |      17 |      20 |  13|      20 |     190 |       0 |
| 280   |  0  |      17 |      20 |  14|      20 |     210 |       0 |
| 281   |  0  |      16 |      20 |  15|      20 |     210 |       0 |
| 282   |  0  |      16 |      20 |  16|      21 |     210 |       0 |
| 283   |  0  |       4 |      20 |  17|      21 |     210 |       0 |
| 284   |  0  |       4 |      20 |   4|      21 |     210 |       0 |
| 285   |  0  |      16 |      20 |   5|      21 |     210 |       0 |
| 286   |  0  |      16 |      21 |   6|      21 |     210 |       0 |
| 287   |  0  |     100 |      21 |   7|      21 |     210 |       0 |
| 288   |  0  |     100 |     -79 |   8|      21 |     210 |       0 |
| 289   |  0  |      18 |     -79 |   9|      21 |     210 |       0 |
| 290   |  0  |      18 |     -79 |  10|      21 |     210 |       0 |
| 291   |  0  |      16 |     -79 |  11|      21 |     210 |       0 |
| 292   |  0  |      16 |      21 |  12|      21 |     210 |       0 |
| 293   |  0  |      17 |      21 |  13|      21 |     210 |       0 |
| 294   |  0  |      17 |      21 |  14|      21 |     231 |       0 |
| 295   |  0  |      16 |      21 |  15|      21 |     231 |       0 |
| 296   |  0  |      16 |      21 |  16|      22 |     231 |       0 |
| 297   |  0  |       4 |      21 |  17|      22 |     231 |       0 |
| 298   |  0  |       4 |      21 |   4|      22 |     231 |       0 |
| 299   |  0  |      16 |      21 |   5|      22 |     231 |       0 |
| 300   |  0  |      16 |      22 |   6|      22 |     231 |       0 |
| 301   |  0  |     100 |      22 |   7|      22 |     231 |       0 |
| 302   |  0  |     100 |     -78 |   8|      22 |     231 |       0 |
| 303   |  0  |      18 |     -78 |   9|      22 |     231 |       0 |
| 304   |  0  |      18 |     -78 |  10|      22 |     231 |       0 |
| 305   |  0  |      16 |     -78 |  11|      22 |     231 |       0 |
| 306   |  0  |      16 |      22 |  12|      22 |     231 |       0 |
| 307   |  0  |      17 |      22 |  13|      22 |     231 |       0 |
